Name,contact_number,Contact_email,creation_date,first_call_attempt,lead_status,lead_stage,lead_tag,assigned_to,last_call_date,last_call_time,references,campaign_name,source_type,source_name,Total Leads,Sales,Conversion Rate (%),Cost per Lead,Total Cost
Anjali Singh,9931980478,anjali.singh878@hotmail.com,03-02-2026 22:31,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,45,3,6.666666667,9,405
Kiran Bose,6474315136,kiran.bose601@example.com,03-02-2026 21:46,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,FACEBOOK_ADS,FACEBOOK_ADS,26,25,96.15384615,13,338
Karthik Malhotra,6753707898,karthik.malhotra329@example.com,03-02-2026 21:28,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,9,5,55.55555556,13,117
Anjali Sharma,9439163624,anjali.sharma85@example.com,03-02-2026 19:59,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,13,6,46.15384615,5,65
Sneha Kapoor,9878269840,sneha.kapoor46@gmail.com,03-02-2026 19:19,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,13,11,84.61538462,9,117
Aisha Kumar,9204542787,aisha.kumar16@yahoo.com,03-02-2026 19:09,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,39,17,43.58974359,10,390
Aditya Malhotra,8610165045,aditya.malhotra531@hotmail.com,03-02-2026 19:00,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,32,18,56.25,10,320
Kavya Das,6497923812,kavya.das456@yahoo.com,03-02-2026 18:35,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,46,40,86.95652174,15,690
Kiran Sharma,7990694402,kiran.sharma168@yahoo.com,03-02-2026 18:09,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,31,6,19.35483871,10,310
Anjali Sharma,7336666347,anjali.sharma51@hotmail.com,03-02-2026 17:23,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,FACEBOOK_ADS,FACEBOOK_ADS,17,0,0,6,102
Kiran Pillai,7575032877,kiran.pillai131@hotmail.com,03-02-2026 12:04,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,35,22,62.85714286,4,140
Sanjay Kumar,9093854230,sanjay.kumar458@outlook.com,03-02-2026 11:59,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,5,5,100,15,75
Anjali Das,6293963928,anjali.das868@hotmail.com,03-02-2026 10:45,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,46,21,45.65217391,10,460
Divya Sharma,9052370004,divya.sharma582@outlook.com,03-02-2026 10:22,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,19,10,52.63157895,14,266
Anjali Yadav,6277676677,anjali.yadav628@yahoo.com,03-02-2026 10:08,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,44,14,31.81818182,6,264
Riya Gupta,9945811114,riya.gupta841@gmail.com,03-02-2026 09:46,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,13,6,46.15384615,8,104
Karthik Bhat,7239613858,karthik.bhat349@gmail.com,03-02-2026 09:38,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,7,4,57.14285714,9,63
Neha Kulkarni,8077487372,neha.kulkarni847@hotmail.com,03-02-2026 09:27,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,27,2,7.407407407,5,135
Meera Kapoor,7152604129,meera.kapoor739@outlook.com,03-02-2026 09:20,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,29,13,44.82758621,13,377
Rahul Kumar,6362158969,rahul.kumar735@outlook.com,03-02-2026 05:32,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,18,12,66.66666667,11,198
Aditya Sharma,9983681560,aditya.sharma192@gmail.com,03-02-2026 02:43,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,27,2,7.407407407,15,405
Rahul Menon,7995819447,rahul.menon728@outlook.com,02-02-2026 14:20,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,8,6,75,5,40
Sanjay Pillai,9714771018,sanjay.pillai413@hotmail.com,02-02-2026 13:55,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,38,21,55.26315789,8,304
Meera Yadav,8373259136,meera.yadav593@example.com,02-02-2026 11:31,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,13,7,53.84615385,14,182
Aditya Chopra,6725636627,aditya.chopra342@gmail.com,02-02-2026 10:53,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,19,0,0,6,114
Neha Nair,6654290358,neha.nair936@example.com,02-02-2026 10:15,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,16,10,62.5,3,48
Pooja Kulkarni,8569026887,pooja.kulkarni597@example.com,02-02-2026 09:59,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,31,4,12.90322581,15,465
Rahul Das,8056370328,rahul.das274@outlook.com,02-02-2026 09:48,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,39,1,2.564102564,8,312
Manoj Sharma,6764932019,manoj.sharma422@gmail.com,01-02-2026 23:18,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,40,20,50,5,200
Manoj Kulkarni,9148589906,manoj.kulkarni472@hotmail.com,01-02-2026 22:55,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,49,23,46.93877551,4,196
Sneha Singh,6036210710,sneha.singh856@gmail.com,01-02-2026 22:41,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,49,9,18.36734694,6,294
Meera Chopra,8447542494,meera.chopra72@example.com,01-02-2026 22:35,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,49,2,4.081632653,15,735
Arjun Chopra,6296012963,arjun.chopra753@example.com,31-01-2026 15:34,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,7,2,28.57142857,3,21
Riya Malhotra,6669439381,riya.malhotra422@gmail.com,31-01-2026 15:06,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,39,13,33.33333333,9,351
Rahul Reddy,7636381748,rahul.reddy538@yahoo.com,31-01-2026 14:57,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,17,6,35.29411765,11,187
Varun Malhotra,8757902177,varun.malhotra721@yahoo.com,31-01-2026 12:44,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,32,16,50,6,192
Varun Das,6301392450,varun.das560@example.com,31-01-2026 12:40,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,5,1,20,11,55
Meera Pillai,8280801593,meera.pillai968@gmail.com,31-01-2026 12:11,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,17,3,17.64705882,3,51
Riya Kulkarni,8479066284,riya.kulkarni751@hotmail.com,31-01-2026 11:56,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,11,6,54.54545455,9,99
Vikram Chopra,7137704999,vikram.chopra124@hotmail.com,31-01-2026 11:43,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,30,26,86.66666667,7,210
Karthik Shetty,7962267908,karthik.shetty736@outlook.com,31-01-2026 11:34,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,18,1,5.555555556,11,198
Rahul Kumar,7479214464,rahul.kumar585@gmail.com,30-01-2026 16:17,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,33,7,21.21212121,15,495
Anjali Bose,7471432993,anjali.bose175@hotmail.com,30-01-2026 14:17,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,10,6,60,8,80
Riya Patel,8595256317,riya.patel579@outlook.com,30-01-2026 14:14,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,39,31,79.48717949,9,351
Varun Bhat,7053288313,varun.bhat713@outlook.com,30-01-2026 13:33,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,22,15,68.18181818,3,66
Vikram Pillai,6165768950,vikram.pillai649@gmail.com,30-01-2026 13:21,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,18,12,66.66666667,8,144
Aisha Joshi,8834992736,aisha.joshi685@yahoo.com,30-01-2026 13:18,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,33,29,87.87878788,5,165
Sneha Kapoor,7641076157,sneha.kapoor7@hotmail.com,30-01-2026 13:13,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,13,12,92.30769231,14,182
Manoj Bose,7711913777,manoj.bose742@hotmail.com,30-01-2026 13:10,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,32,9,28.125,14,448
Pooja Singh,6410462239,pooja.singh185@example.com,30-01-2026 13:01,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,42,23,54.76190476,7,294
Riya Bose,7871756551,riya.bose306@gmail.com,30-01-2026 12:20,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,20,16,80,5,100
Kavya Yadav,9245943863,kavya.yadav577@yahoo.com,30-01-2026 12:02,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,42,33,78.57142857,11,462
Anjali Iyer,7640667226,anjali.iyer778@yahoo.com,28-01-2026 16:32,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,19,3,15.78947368,3,57
Vikram Iyer,8527992455,vikram.iyer328@hotmail.com,28-01-2026 16:23,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,44,38,86.36363636,6,264
Karthik Malhotra,6809415371,karthik.malhotra755@yahoo.com,28-01-2026 15:46,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,22,10,45.45454545,8,176
Kavya Sharma,9008287569,kavya.sharma653@example.com,28-01-2026 15:35,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,26,19,73.07692308,13,338
Arjun Das,8293346381,arjun.das458@gmail.com,28-01-2026 09:41,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,36,17,47.22222222,10,360
Meera Sharma,9998796843,meera.sharma347@hotmail.com,28-01-2026 09:19,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,16,9,56.25,5,80
Kavya Shetty,7259230341,kavya.shetty845@gmail.com,28-01-2026 08:56,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,48,25,52.08333333,5,240
